id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,cast_link,nepos,pct_nepo
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Chris Pratt,/wiki/Chris_Pratt,False,0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Bryce Dallas Howard,/wiki/Bryce_Dallas_Howard,['https://en.wikipedia.org/wiki/Ron_Howard'],0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Vincent D'Onofrio,/wiki/Vincent_D%27Onofrio,False,0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Ty Simpkins,/wiki/Ty_Simpkins,['https://en.wikipedia.org/wiki/Ryan_Simpkins'],0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Nick Robinson,/wiki/Nick_Robinson_(American_actor),False,0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Omar Sy,/wiki/Omar_Sy,False,0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,BD Wong,/wiki/BD_Wong,False,0.25
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Irrfan Khan,/wiki/Irrfan_Khan,False,0.25
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Donald Glover,/wiki/Donald_Glover,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Seth Rogen,/wiki/Seth_Rogen,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Chiwetel Ejiofor,/wiki/Chiwetel_Ejiofor,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Alfre Woodard,/wiki/Alfre_Woodard,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Billy Eichner,/wiki/Billy_Eichner,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,John Kani,/wiki/John_Kani,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,John Oliver,/wiki/John_Oliver,False,0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Beyoncé Knowles-Carter,/wiki/Beyonc%C3%A9_Knowles-Carter,"['https://en.wikipedia.org/wiki/Mathew_Knowles', 'https://en.wikipedia.org/wiki/Tina_Lawson']",0.2222222222222222
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,James Earl Jones,/wiki/James_Earl_Jones,['https://en.wikipedia.org/wiki/Robert_Earl_Jones'],0.2222222222222222
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Robert Downey Jr.,/wiki/Robert_Downey_Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Chris Evans,/wiki/Chris_Evans_(actor),['https://en.wikipedia.org/wiki/Mike_Capuano'],0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Mark Ruffalo,/wiki/Mark_Ruffalo,False,0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Chris Hemsworth,/wiki/Chris_Hemsworth,['https://en.wikipedia.org/wiki/Joanne_van_Os'],0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Scarlett Johansson,/wiki/Scarlett_Johansson,False,0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Jeremy Renner,/wiki/Jeremy_Renner,False,0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Tom Hiddleston,/wiki/Tom_Hiddleston,False,0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Stellan Skarsgård,/wiki/Stellan_Skarsg%C3%A5rd,False,0.3333333333333333
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Samuel L. Jackson,/wiki/Samuel_L._Jackson,False,0.3333333333333333
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Vin Diesel,,False,0.3076923076923077
