,title,cast,nepos,pct_nepo
200,Peaky Blinders,Sophie Rundle,True,16.666666666666664
201,Peaky Blinders,Helen McCrory,True,16.666666666666664
202,Peaky Blinders,Ned Dennehy,True,16.666666666666664
203,Peaky Blinders,Finn Cole,['https://en.wikipedia.org/wiki/Joe_Cole_(actor)'],16.666666666666664
204,Peaky Blinders,Natasha O'Keeffe,True,16.666666666666664
205,Peaky Blinders,Ian Peck,True,16.666666666666664
206,Peaky Blinders,Harry Kirton,True,16.666666666666664
207,Peaky Blinders,Packy Lee,True,16.666666666666664
208,Peaky Blinders,Joe Cole,True,16.666666666666664
209,Peaky Blinders,Annabelle Wallis,"['https://en.wikipedia.org/wiki/Richard_Harris', 'https://en.wikipedia.org/wiki/Jared_Harris', 'https://en.wikipedia.org/wiki/Damian_Harris', 'https://en.wikipedia.org/wiki/Jamie_Harris_(actor)']",16.666666666666664
210,Peaky Blinders,Kate Phillips,True,16.666666666666664
211,Peaky Blinders,Aimee-Ffion Edwards,True,16.666666666666664
212,Peaky Blinders,Tony Pitts,True,16.666666666666664
213,Peaky Blinders,Benjamin Zephaniah,True,16.666666666666664
214,Peaky Blinders,Tom Hardy,['https://en.wikipedia.org/wiki/Chips_Hardy'],16.666666666666664
215,Peaky Blinders,Jordan Bolger,True,16.666666666666664
216,Game of Thrones,Emilia Clarke,True,16.666666666666664
217,Game of Thrones,Peter Dinklage,True,16.666666666666664
218,Game of Thrones,Kit Harington,True,16.666666666666664
219,Game of Thrones,Lena Headey,True,16.666666666666664
220,Game of Thrones,Sophie Turner,['https://en.wikipedia.org/wiki/Category:Jonas_family'],16.666666666666664
221,Game of Thrones,Maisie Williams,True,16.666666666666664
222,Game of Thrones,Nikolaj Coster-Waldau,['https://en.wikipedia.org/wiki/Josef_Motzfeldt'],16.666666666666664
223,Game of Thrones,Iain Glen,True,16.666666666666664
224,Game of Thrones,John Bradley,True,16.666666666666664
225,Game of Thrones,Alfie Allen,"['https://en.wikipedia.org/wiki/Keith_Allen_(actor)', 'https://en.wikipedia.org/wiki/Alison_Owen']",16.666666666666664
226,Game of Thrones,Conleth Hill,True,16.666666666666664
227,Game of Thrones,Liam Cunningham,True,16.666666666666664
228,Game of Thrones,Gwendoline Christie,True,16.666666666666664
229,Game of Thrones,Aidan Gillen,True,16.666666666666664
