,id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,nepos,pct_nepo
59,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Mark Hamill,False,33.33333333333333
60,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Carrie Fisher,"['https://en.wikipedia.org/wiki/Eddie_Fisher_(singer)', 'https://en.wikipedia.org/wiki/Debbie_Reynolds']",33.33333333333333
61,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Adam Driver,False,33.33333333333333
62,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Lupita Nyong'o,['https://en.wikipedia.org/wiki/Peter_Anyang%27_Nyong%27o'],33.33333333333333
63,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Andy Serkis,False,33.33333333333333
64,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Anthony Daniels,False,33.33333333333333
65,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Max von Sydow,['https://en.wikipedia.org/wiki/Carl_Wilhelm_von_Sydow'],33.33333333333333
66,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Peter Mayhew,False,33.33333333333333
67,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Gwendoline Christie,False,33.33333333333333
68,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Joonas Suotamo,False,33.33333333333333
69,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Pip Andersen,False,33.33333333333333
